date,steps,heart_rate,calories,sleep_hours,weight
2026-02-25,18700,99,3527,,60.4
2026-02-26,27572,110,4220,,60.4
2026-02-27,15260,93,3864,,60.4
2026-02-28,20779,122,3662,4.5,60.4
2026-03-01,10695,80,2834,,60.4
2026-03-02,24136,147,4039,4.6,60.4
2026-03-03,10910,79,2947,,60.4
2026-03-04,23014,118,4196,3.3,60.4
2026-03-05,16470,126,3841,4.9,60.4
2026-03-06,28497,74,4526,,60.4
2026-03-07,10622,85,2820,,60.4
2026-03-08,2350,146,938,4.6,60.4
2026-03-09,23186,87,3921,,60.4
2026-03-10,15337,145,3566,4.1,59.7
2026-03-11,21129,86,3793,,59.4
2026-03-12,13422,93,3934,,59.4
2026-03-13,29326,86,4547,,60.1
2026-03-14,15118,91,3545,,60.1
2026-03-15,11423,136,2761,3.3,60.4
2026-03-16,18785,88,3676,,60.0
2026-03-17,19948,85,3679,,59.7
2026-03-18,19377,80,3659,,59.4
2026-03-19,18258,98,3427,,59.4
2026-03-20,11200,75,3891,,60.1
2026-03-21,16674,92,3455,,60.1
2026-03-22,12986,96,3802,,60.1
2026-03-23,11101,80,2860,,59.9
2026-03-24,23629,73,3808,,60.1
2026-03-25,14890,120,3060,,59.9
2026-03-26,9733,101,2698,,59.7
2026-03-27,27745,121,4398,4.3,60.1
2026-03-28,10930,96,2786,,60.0
2026-03-29,4790,91,2189,,60.0
2026-03-30,10818,141,2817,3.1,59.7
2026-03-31,18193,98,3477,,59.4
2026-04-01,14055,69,3052,,59.4
2026-04-02,21727,104,4015,,59.8
2026-04-03,12332,122,4142,3.6,59.8
2026-04-04,10686,84,2847,,60.1
2026-04-05,20226,57,3710,,60.1
2026-04-06,10733,102,2832,,60.1
2026-04-07,21420,140,3832,5.1,60.1
2026-04-08,8064,121,1849,4.4,59.1
